iter	Passed	Remaining
1586	4928	4388
1587	4931	4384
1588	4934	4381
1589	4937	4378
1590	4940	4375
1591	4943	4372
1592	4946	4369
1593	4949	4366
1594	4952	4362
1595	4955	4359
1596	4958	4356
1597	4961	4353
1598	4964	4350
1599	4967	4346
1600	4970	4343
1601	4974	4341
1602	4977	4337
1603	4980	4334
1604	4983	4331
1605	4986	4328
1606	4989	4324
1607	4992	4321
1608	4995	4318
1609	4998	4315
1610	5001	4312
1611	5004	4308
1612	5007	4305
1613	5010	4302
1614	5013	4299
1615	5017	4296
1616	5020	4293
1617	5023	4291
1618	5027	4288
1619	5030	4285
1620	5034	4282
1621	5037	4279
1622	5040	4276
1623	5044	4274
1624	5047	4271
1625	5051	4268
1626	5056	4267
1627	5060	4264
1628	5064	4262
1629	5068	4259
1630	5071	4257
1631	5075	4254
1632	5079	4252
1633	5083	4249
1634	5087	4246
1635	5090	4244
1636	5095	4242
1637	5099	4240
1638	5103	4237
1639	5107	4235
1640	5111	4233
1641	5115	4230
1642	5119	4228
1643	5123	4226
1644	5128	4224
1645	5132	4222
1646	5136	4219
1647	5141	4218
1648	5145	4215
1649	5150	4213
1650	5154	4211
1651	5160	4211
1652	5165	4209
1653	5169	4207
1654	5173	4204
1655	5177	4202
1656	5181	4199
1657	5185	4197
1658	5189	4194
1659	5193	4192
1660	5197	4189
1661	5200	4187
1662	5204	4184
1663	5208	4181
1664	5211	4178
1665	5215	4176
1666	5218	4173
1667	5222	4170
1668	5226	4168
1669	5230	4165
1670	5234	4162
1671	5237	4160
1672	5241	4157
1673	5245	4154
1674	5249	4152
1675	5252	4149
1676	5256	4147
1677	5260	4144
1678	5265	4142
1679	5269	4140
1680	5273	4137
1681	5287	4142
1682	5291	4140
1683	5294	4137
1684	5298	4134
1685	5301	4131
1686	5304	4128
1687	5309	4126
1688	5312	4123
1689	5315	4120
1690	5319	4117
1691	5323	4115
1692	5327	4112
1693	5330	4109
1694	5334	4106
